n_eval,value,pretrain.data,pscale,ptask,fdata,fratio,ftask,model,nparam,pdata
6580,0.181283376020886,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
6580,0.174992603536653,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
6580,0.148723476366918,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
6580,0.182099550510945,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
7020,0.176635711637546,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
7020,0.147130046006894,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
7020,0.186459137217723,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
7040,0.228864588654879,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
7040,0.19924487793936,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
7040,0.152056959075769,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
7040,0.196697858514721,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
7500,0.218309920253258,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
7500,0.197197896547479,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
7500,0.225267394148106,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
7500,0.249088069355078,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
7500,0.229549349176424,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
7500,0.208932232804736,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
7500,0.241487648676429,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
7960,0.258207095407619,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
7960,0.20355101165749,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
7960,0.270023277674815,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
7980,0.274848307174,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
7980,0.251023253999543,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
7980,0.238311289486647,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
7980,0.246563768080442,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
8440,0.286253785017461,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
8440,0.267232419193872,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
8440,0.280635069751659,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
8440,0.294341628793634,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
8440,0.300363488027392,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
8440,0.251955314350474,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
8440,0.287078925967457,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
8900,0.308212336390291,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
8900,0.272747604289469,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
8900,0.335476058193846,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
8920,0.314529430910558,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
8920,0.321448497008407,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
8920,0.274890960914598,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
8920,0.322021201035722,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
9360,0.297826519595557,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
9360,0.339883478588912,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
9360,0.32574663711658,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
9380,0.340614445002683,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
9380,0.324543654169221,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
9380,0.323203172029024,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
9380,0.334441138013632,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
9840,0.345237566509075,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
9840,0.368149997392657,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
9840,0.342023796097005,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
9860,0.339884544152587,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
9860,0.347020981848315,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
9860,0.333141799580052,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
9860,0.343991922850772,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
10300,0.361972763493407,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
10300,0.351511479079759,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
10300,0.391493967488244,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
10320,0.368922706311433,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
10320,0.390364782124747,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
10320,0.356789579272823,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
10320,0.382989391758275,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
10780,0.405726304786182,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
10780,0.395609577970572,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
10780,0.435546473379093,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
10800,0.422050716869912,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
10800,0.38150728422171,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
10800,0.412574575928736,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
10800,0.402148555722521,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
11240,0.403638603332603,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
11240,0.409282539057302,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
11240,0.402716706726895,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
11260,0.427806806596551,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
11260,0.431179552686948,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
11260,0.437501441748075,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
11260,0.418643867777846,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
11700,0.429197405039753,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
11700,0.414337695934692,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
11700,0.465088229251361,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
11720,0.473261094805066,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
11720,0.463637092561692,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
11720,0.423556333039982,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
11720,0.456537866126915,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
12180,0.407527718284785,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
12180,0.469955419099087,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
12180,0.438960150103484,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
12200,0.498135678461362,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
12200,0.485679206593959,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
12200,0.498745052908487,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
12200,0.512285155426601,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
12640,0.449546852262755,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
12640,0.502445978309191,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
12640,0.498459253878259,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
12660,0.532208490580225,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
12660,0.48117785039548,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
12660,0.433972683981707,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
12660,0.506818132373952,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
13120,0.542320644130748,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
13120,0.54301591620528,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
13120,0.505968212827391,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
13140,0.526910703207233,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
13140,0.419589615499614,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
13140,0.527599646800442,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
13140,0.443762862003364,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
13580,0.475291094243125,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
13580,0.543165037475972,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
13580,0.493269924319715,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
13600,0.514465061238621,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
13600,0.546664118913638,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
13600,0.440501203996326,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
13600,0.494088347015734,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
14040,0.532316518072479,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
14040,0.591475855047788,40000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
14040,0.565389740985756,80000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
14080,0.487553391378539,160000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
14080,0.623331455510418,320000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
14080,0.587026895443346,640000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
14080,0.460627426748638,1280000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
14520,0.565953910633759,20000,1280k,mulclass,NA,0,pretrain,r101,42.8,bop
