n_eval,value,pretrain.data,pscale,ptask,fdata,fratio,ftask,model,nparam,pdata
80020,0.135800004005432,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
85020,0.118660002946854,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
85020,0.128700003027916,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
85020,0.134580001235008,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
85020,0.13060000538826,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
85020,0.12729999423027,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
85020,0.129339993000031,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
85020,0.129120007157326,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
90020,0.119400002062321,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
90020,0.128260001540184,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
90020,0.124700002372265,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
90020,0.133399993181229,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
90020,0.126760005950928,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
90020,0.117559999227524,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
90020,0.133619993925095,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
95020,0.121540002524853,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
95020,0.120820000767708,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
95020,0.125180006027222,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
95020,0.124439999461174,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
95020,0.13222000002861,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
95020,0.123259998857975,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
95020,0.129140004515648,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
100020,0.11777999997139,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
100020,0.126120001077652,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
100020,0.124920003116131,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
100020,0.131300002336502,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
100020,0.125359997153282,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
100020,0.135920003056526,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
100020,0.132379993796349,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
105020,0.118000000715256,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
105020,0.125579997897148,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
